2024-07-03 15:44:39 | INFO | verify | verify.py | 验证码识别开始
2024-07-03 15:44:39 | INFO | Request | Request.py | post: https://www.temu.com/api/phantom/vc_pre_ck
2024-07-03 15:44:39 | INFO | Request | Request.py | post: https://www.temu.com/api/phantom/vc_pre_ck
2024-07-03 15:44:39 | INFO | Request | Request.py | post: https://www.temu.com/api/phantom/vc_pre_ck
2024-07-03 15:44:39 | INFO | Request | Request.py | post: https://www.temu.com/api/phantom/vc_pre_ck
2024-07-03 15:44:39 | INFO | Request | Request.py | post: https://www.temu.com/api/phantom/vc_pre_ck
2024-07-03 15:44:39 | Level 20 | after | after.py | Finished call to '__main__.VerifyCaptcha.start' after 滑块失败重试, 0.000(s), this was the 1st time calling it.
2024-07-03 15:44:39 | INFO | verify | verify.py | 验证码识别开始
2024-07-03 15:44:39 | INFO | Request | Request.py | post: https://www.temu.com/api/phantom/vc_pre_ck
2024-07-03 15:44:39 | INFO | Request | Request.py | post: https://www.temu.com/api/phantom/vc_pre_ck
2024-07-03 15:44:39 | INFO | Request | Request.py | post: https://www.temu.com/api/phantom/vc_pre_ck
2024-07-03 15:44:39 | INFO | Request | Request.py | post: https://www.temu.com/api/phantom/vc_pre_ck
2024-07-03 15:44:39 | INFO | Request | Request.py | post: https://www.temu.com/api/phantom/vc_pre_ck
2024-07-03 15:44:39 | Level 20 | after | after.py | Finished call to '__main__.VerifyCaptcha.start' after 滑块失败重试, 0.016(s), this was the 2nd time calling it.
2024-07-03 15:44:39 | INFO | verify | verify.py | 验证码识别开始
2024-07-03 15:44:39 | INFO | Request | Request.py | post: https://www.temu.com/api/phantom/vc_pre_ck
2024-07-03 15:44:39 | INFO | Request | Request.py | post: https://www.temu.com/api/phantom/vc_pre_ck
2024-07-03 15:44:39 | INFO | Request | Request.py | post: https://www.temu.com/api/phantom/vc_pre_ck
2024-07-03 15:44:39 | INFO | Request | Request.py | post: https://www.temu.com/api/phantom/vc_pre_ck
2024-07-03 15:44:39 | INFO | Request | Request.py | post: https://www.temu.com/api/phantom/vc_pre_ck
2024-07-03 15:44:39 | Level 20 | after | after.py | Finished call to '__main__.VerifyCaptcha.start' after 滑块失败重试, 0.016(s), this was the 3rd time calling it.
2024-07-03 15:45:49 | INFO | verify | verify.py | 验证码识别开始
